,Temperature (K),Sample Position (deg),Res. (ohm-cm),ACT,ACT_str,T,H,geo,Delta Res. Mean (ohm-cm),Delta Res./R0 Mean (ohm-cm),Delta Res./R0 Mean (%),Delta Res. 0deg (ohm-cm),Delta Res./R0 0deg (ohm-cm),Delta Res./R0 0deg (%),Sample Position (rads),Res. (uohm-cm),Delta Res. Mean (uohm-cm),Delta Res./R0 Mean (uohm-cm),Delta Res. 0deg (uohm-cm),Delta Res./R0 0deg (uohm-cm)
57,10.000484475,114.0075989,0.0003946040807203,11,ACTRot11,10.0,0.5,perp,-1.0102019619331448e-07,-0.0002559384106228894,-10.102019619331447,-1.1786427029996608e-07,-0.0002986007537604045,-11.786427029996608,1.9898079730980656,394.60408072030003,-0.10102019619331448,-255.93841062288942,-0.11786427029996607,-298.60075376040453
58,10.00043085,115.9759979,0.000394462145349,11,ACTRot11,10.0,0.5,perp,-2.429555674933123e-07,-0.0006155369335972016,-24.295556749331233,-2.597996415999639e-07,-0.0006581839314917007,-25.979964159996392,2.024163016641029,394.462145349,-0.24295556749331232,-615.5369335972016,-0.25979964159996394,-658.1839314917007
59,10.00044825,117.9975967,0.0003946819891853,11,ACTRot11,10.0,0.5,perp,-2.3111731193344726e-08,-5.855442744388148e-05,-2.3111731193344727,-3.995580529999633e-08,-0.0001012251936003909,-3.995580529999633,2.059446571855396,394.6819891853,-0.023111731193344726,-58.55442744388148,-0.03995580529999633,-101.2251936003909
60,10.000321175,120.0191956,0.0003947740711084,11,ACTRot11,10.0,0.5,perp,6.897019190667134e-08,0.00017473853706608967,6.897019190667134,5.2126117800019734e-08,0.00013205781553711455,5.212611780001973,2.0947301288150912,394.7740711084,0.06897019190667134,174.73853706608966,0.05212611780001973,132.05781553711455
61,10.0002663,121.9875946,0.0003945872558891,11,ACTRot11,10.0,0.5,perp,-1.1784502739332729e-07,-0.00029856474395617056,-11.78450273933273,-1.346891014999789e-07,-0.0003412252680888731,-13.468910149997889,2.1290851723580553,394.5872558891,-0.11784502739332729,-298.56474395617056,-0.1346891014999789,-341.2252680888731
62,10.00015045,124.009201,0.0003948034769074,11,ACTRot11,10.0,0.5,perp,9.837599090667436e-08,0.00024923921854125595,9.837599090667435,8.153191680002276e-08,0.0002065553178249676,8.153191680002276,2.1643688602174445,394.8034769074,0.09837599090667436,249.23921854125595,0.08153191680002275,206.5553178249676
63,10.0002682,125.9776001,0.0003946725021281,11,ACTRot11,10.0,0.5,perp,-3.2598788393342366e-08,-8.259023842775014e-05,-3.2598788393342364,-4.944286249999397e-08,-0.0001252599788977312,-4.944286249999397,2.1987239055057377,394.6725021281,-0.03259878839334236,-82.59023842775014,-0.04944286249999397,-125.2599788977312
64,10.0002799,127.9991989,0.000394576474936,11,ACTRot11,10.0,0.5,perp,-1.2862598049336168e-07,-0.0003258786881514732,-12.862598049336167,-1.454700546000133e-07,-0.00036853804670900056,-14.547005460001328,2.234007460720104,394.57647493599995,-0.12862598049336169,-325.87868815147317,-0.14547005460001328,-368.5380467090006
65,10.000383125,130.0207977,0.0003944047657164,11,ACTRot11,10.0,0.5,perp,-3.003352000933296e-07,-0.0007609103591414459,-30.03352000933296,-3.171792741999812e-07,-0.0008035511534772524,-31.71792741999812,2.2692910159344706,394.4047657164,-0.3003352000933296,-760.910359141446,-0.3171792741999812,-803.5511534772523
66,10.000491625,131.9891968,0.000394581919684,11,ACTRot11,10.0,0.5,perp,-1.2318123249335311e-07,-0.00031208421732409846,-12.318123249335311,-1.4002530660000472e-07,-0.00035474416453673313,-14.002530660000472,2.303646061222764,394.581919684,-0.12318123249335311,-312.08421732409846,-0.14002530660000473,-354.74416453673314
67,10.000506175,134.0108032,0.000394527263109,11,ACTRot11,10.0,0.5,perp,-1.7783780749332538e-07,-0.0004505586755286196,-17.78378074933254,-1.9468188159997698e-07,-0.0004932127135840223,-19.4681881599977,2.338929749082153,394.527263109,-0.17783780749332537,-450.5586755286196,-0.19468188159997699,-493.2127135840223
68,10.00039385,135.9792023,0.0003946270993059,11,ACTRot11,10.0,0.5,perp,-7.800161059331318e-08,-0.00019761997099149666,-7.800161059331318,-9.484568469996478e-08,-0.00024028480276723266,-9.484568469996479,2.373284794370446,394.6270993059,-0.07800161059331318,-197.61997099149667,-0.09484568469996478,-240.28480276723266
69,10.000043625,138.0007935,0.0003945526617523,11,ACTRot11,10.0,0.5,perp,-1.5243916419335453e-07,-0.00038621027151510175,-15.243916419335454,-1.6928323830000614e-07,-0.00042886705552699255,-16.928323830000615,2.408568216939789,394.55266175229997,-0.15243916419335454,-386.21027151510174,-0.16928323830000613,-428.86705552699254
70,10.000209575,140.0223999,0.000394436729195,11,ACTRot11,10.0,0.5,perp,-2.683717214933129e-07,-0.0006799297016181494,-26.83717214933129,-2.852157955999645e-07,-0.0007225739516630034,-28.52157955999645,2.443851904799179,394.436729195,-0.2683717214933129,-679.9297016181495,-0.2852157955999645,-722.5739516630034
71,10.00062465,141.990799,0.0003944717589004,11,ACTRot11,10.0,0.5,perp,-2.33342016093326e-07,-0.0005911806448700887,-23.3342016093326,-2.501860901999776e-07,-0.0006338286821269478,-25.018609019997758,2.4782069500874724,394.4717589004,-0.233342016093326,-591.1806448700887,-0.2501860901999776,-633.8286821269478
72,10.000391,144.0123901,0.0003944440556935,11,ACTRot11,10.0,0.5,perp,-2.610452229933626e-07,-0.0006613677461659945,-26.10452229933626,-2.778892971000142e-07,-0.0007040127883100899,-27.788929710001423,2.513490370911486,394.4440556935,-0.2610452229933626,-661.3677461659945,-0.2778892971000142,-704.01278831009
73,10.00044845,145.9808044,0.000394739902984,11,ACTRot11,10.0,0.5,perp,3.480206750664265e-08,8.817232770955656e-05,3.480206750664265,1.7957993399991042e-08,4.5495300243361685e-05,1.7957993399991041,2.547845681489825,394.73990298399997,0.03480206750664265,88.17232770955657,0.017957993399991042,45.49530024336168
74,9.9999838,148.0023956,0.000394696112979,11,ACTRot11,10.0,0.5,perp,-8.987937493332328e-09,-2.2771272710848196e-05,-0.8987937493332327,-2.5832011599983933e-08,-6.544356585139725e-05,-2.583201159998393,2.5831291040591684,394.696112979,-0.008987937493332328,-22.771272710848198,-0.025832011599983933,-65.44356585139725
75,9.9999101,150.0240021,0.0003947269908918,11,ACTRot11,10.0,0.5,perp,2.1889975306671992e-08,5.5459063629641804e-05,2.188997530667199,5.045901200020388e-09,1.2783432145229604e-05,0.5045901200020387,2.618412793663887,394.7269908918,0.021889975306671992,55.459063629641804,0.005045901200020388,12.783432145229604
76,10.00011585,151.9924011,0.0003945166815183,11,ACTRot11,10.0,0.5,perp,-1.8841939819334462e-07,-0.00047736752769558956,-18.841939819334463,-2.0526347229999622e-07,-0.000520020421729743,-20.526347229999622,2.652767837206851,394.5166815183,-0.1884193981933446,-477.36752769558956,-0.20526347229999622,-520.020421729743
77,10.00021055,154.0139923,0.0003947013687783,11,ACTRot11,10.0,0.5,perp,-3.732138193325921e-09,-9.455510416916347e-06,-0.37321381933259207,-2.0576212299977525e-08,-5.212837178451665e-05,-2.0576212299977525,2.6880512597761945,394.70136877830004,-0.0037321381933259207,-9.455510416916347,-0.020576212299977525,-52.12837178451665
78,10.000086075,155.9823914,0.0003946821246566,11,ACTRot11,10.0,0.5,perp,-2.2976259893313974e-08,-5.821120588501084e-05,-2.2976259893313973,-3.982033399996558e-08,-0.00010088198668790475,-3.982033399996558,2.7224063050644878,394.6821246566,-0.022976259893313974,-58.21120588501084,-0.03982033399996558,-100.88198668790474
79,10.0000937,158.0039978,0.0003945963431312,11,ACTRot11,10.0,0.5,perp,-1.0875778529335651e-07,-0.00027554187934441236,-10.875778529335651,-1.256018594000081e-07,-0.0003182033859379144,-12.560185940000812,2.757689992923877,394.5963431312,-0.1087577852933565,-275.54187934441234,-0.12560185940000812,-318.2033859379144
